trip_id,driver_id,pickup_time,dropoff_time,pickup_location,dropoff_location,fare_amount,status
trip_111,driver_31,2025-07-09 23:30:38,2025-07-10 00:28:38,1271 Green Path,660 Vallejo Pike,37.25,completed
trip_112,driver_38,2025-07-09 23:18:00,2025-07-09 23:29:00,928 Brice Canyon,205 Cerritos Pass,36.76,completed
trip_113,driver_30,2025-07-09 23:54:27,2025-07-10 00:24:27,107 Bayview Park Station,696 Apollo Turnpike,44.39,completed
trip_114,driver_12,2025-07-09 23:10:46,2025-07-10 00:10:46,696 Burke Boulevard,1354 Garces Run,,in_progress
trip_115,driver_16,2025-07-09 23:08:25,2025-07-10 00:05:25,393 Deems Cove,425 Pinar Field,36.72,completed
trip_116,driver_49,2025-07-09 23:00:14,2025-07-10 00:00:14,523 Jerrold Landing,43 De Long Hills,47.4,in_progress
trip_117,driver_24,2025-07-09 23:23:28,2025-07-10 00:02:28,1089 Clarendon Run,695 Hill Point Street,30.83,completed
trip_118,driver_10,2025-07-09 23:25:24,2025-07-10 00:13:24,298 Perimeter Heights,132 El Mirasol Crossing,33.24,completed
trip_119,driver_21,2025-07-09 23:30:09,2025-07-09 23:50:09,330 Brookdale Pine,652 Stanley Avenue,45.43,completed
trip_120,driver_9,2025-07-09 23:48:11,2025-07-10 00:07:11,161 Clairview Plaza,504 Helen Shore,14.75,completed
trip_121,driver_29,2025-07-09 23:00:49,2025-07-09 23:39:49,1225 Pope Annex,129 Arnold Garden,38.51,completed
trip_122,driver_10,2025-07-09 23:42:08,2025-07-10 00:12:08,822 Western Shore Lake,1243 Mesa Estate,14.9,completed
trip_123,driver_47,2025-07-09 23:32:46,2025-07-10 00:28:46,1154 Drummond Manor,205 Museum Garden,47.04,completed
trip_124,driver_32,2025-07-09 23:03:38,2025-07-09 23:58:38,619 Transbay Hump Landing,174 Whitecliff Field,31.77,completed
trip_125,driver_20,2025-07-09 23:27:12,2025-07-10 00:05:12,1017 Langdon Ferry,1246 Soule Run,18.28,cancelled
trip_126,driver_46,2025-07-09 23:58:10,2025-07-10 00:58:10,100 Buckingham Bayou,186 San Pablo Row,6.09,completed
trip_127,driver_42,2025-07-09 23:00:52,2025-07-09 23:39:52,1364 Gillette Landing,818 Lincoln Parkway,37.06,completed
trip_128,driver_10,2025-07-09 23:15:35,2025-07-09 23:27:35,838 Don Chee Crossing,1080 Medau Crescent,38.34,in_progress
trip_129,driver_29,2025-07-09 23:21:34,2025-07-09 23:55:34,533 Santa Rosa Circle,392 Kimball Mews,14.14,completed
trip_130,driver_10,2025-07-09 23:11:06,2025-07-09 23:44:06,721 Getz Row,479 Anthony Terrace,31.48,completed
trip_131,driver_33,2025-07-09 23:34:32,2025-07-10 00:28:32,28 San Bruno Point,855 Lafayette Alley,31.83,completed
trip_132,driver_29,2025-07-09 23:27:56,2025-07-10 00:07:56,1047 Dorantes Estate,,28.38,completed
trip_133,driver_33,2025-07-09 23:41:06,2025-07-10 00:32:06,522 Onique Alley,554 North Pass,7.55,completed
trip_134,driver_44,2025-07-09 23:23:25,2025-07-09 23:58:25,92 Crossover Station,1104 Bennington Pike,17.14,completed
trip_135,driver_47,2025-07-09 23:21:23,2025-07-09 23:44:23,130 Rice Field,1001 Westside Mall,39.77,completed
trip_136,driver_44,2025-07-09 23:14:57,2025-07-10 00:05:57,763 Lomita Street,81 Hawkins Expressway,32.24,cancelled
trip_137,driver_42,2025-07-09 23:24:40,2025-07-09 23:54:40,575 Poppy Crescent,559 Gladiolus Shore,8.0,completed
trip_138,driver_9,2025-07-09 23:50:56,2025-07-10 00:40:56,845 Laidley Viaduct,971 Fifth Park,7.5,completed
trip_139,driver_22,2025-07-09 23:51:34,2025-07-10 00:30:34,725 Cordelia Creek,270 Pizarro Heights,23.28,completed
trip_140,driver_1,2025-07-09 23:58:48,2025-07-10 00:51:48,1067 Tonquin Ferry,650 Georgia Pass,9.84,completed
trip_141,driver_21,2025-07-09 23:22:40,2025-07-09 23:40:40,443 Campbell Avenue,1211 Erkson Arcade,35.09,completed
trip_142,driver_43,2025-07-09 23:24:54,2025-07-09 23:32:54,1273 Taraval Park,209 Vista Rapids,40.74,completed
trip_143,driver_41,2025-07-09 23:07:53,2025-07-09 23:51:53,909 Burns Alley,,27.07,completed
trip_144,driver_30,2025-07-09 23:35:45,2025-07-10 00:20:45,623 Park Grove,250 Sola Route,38.17,completed
trip_145,driver_26,2025-07-09 23:41:24,2025-07-10 00:08:24,649 Chenery Mall,645 Pollock Walk,22.51,completed
trip_146,driver_16,2025-07-09 23:56:09,2025-07-10 00:40:09,878 Maple Mall,428 Rainey Bypass,25.42,completed
trip_147,driver_19,2025-07-09 23:33:55,2025-07-09 23:45:55,195 La Playa Alley,410 Mccoppin Crossing,13.66,completed
trip_148,driver_22,2025-07-09 23:37:01,2025-07-10 00:29:01,,329 Rivoli Rapids,32.47,completed
trip_149,driver_42,2025-07-09 23:14:46,2025-07-09 23:21:46,143 Calhoun Path,934 Eastwood Lodge,34.06,completed
trip_150,driver_15,2025-07-09 23:48:52,2025-07-10 00:38:52,447 Keystone Mews,89 De Haro Highway,33.47,completed
trip_151,driver_43,2025-07-09 23:59:09,2025-07-10 00:23:09,1372 Rockwood Turnpike,1320 Chain Of Lakes Run,6.36,completed
trip_152,driver_47,2025-07-09 23:48:14,2025-07-10 00:10:14,321 Arlington Crossing,547 Alvord Court,35.52,completed
trip_153,driver_10,2025-07-09 23:30:01,2025-07-10 00:10:01,74 Dorman Mews,417 Clarion Run,13.1,completed
trip_154,driver_38,2025-07-09 22:06:47,2025-07-09 22:52:47,1354 Paul Glen,1115 Marston Bridge,29.89,completed
trip_155,driver_46,2025-07-09 22:51:28,2025-07-09 23:01:28,236 John F Shelley Lane,1075 Fowler Pass,19.3,completed
trip_156,driver_32,2025-07-09 22:10:30,2025-07-09 22:58:30,537 Winthrop Terrace,1330 Sedgewick Viaduct,23.87,completed
trip_157,driver_38,2025-07-09 22:29:33,2025-07-09 22:59:33,223 Eaton Route,438 Kittredge Walk,48.16,completed
trip_158,driver_34,2025-07-09 22:58:16,2025-07-09 23:16:16,731 Osage Canyon,328 Vale Garden,35.37,completed
trip_159,driver_30,2025-07-09 22:28:28,2025-07-09 22:54:28,1346 Balance Estate,356 Matthew Manor,26.6,completed
trip_160,driver_38,2025-07-09 22:37:03,2025-07-09 22:54:03,637 Mabel Bridge,112 Cumberland Path,12.66,completed
trip_161,driver_29,2025-07-09 22:59:17,2025-07-09 23:06:17,426 Mississippi Estate,280 Watt Gardens,48.16,completed
trip_162,driver_25,2025-07-09 22:11:45,2025-07-09 22:48:45,270 Devonshire Parkway,987 Nimitz Crescent,16.42,completed
trip_163,driver_49,2025-07-09 22:52:25,2025-07-09 23:03:25,1049 Esmeralda Trail,519 Decatur Rapids,16.93,completed
trip_164,driver_32,2025-07-09 22:35:14,2025-07-09 22:53:14,705 Woolsey Hill,,44.88,completed
trip_165,driver_18,2025-07-09 22:00:38,2025-07-09 22:15:38,730 Brighton Walk,1064 Milan Ranch,47.65,completed
trip_166,driver_40,2025-07-09 22:32:20,2025-07-09 23:10:20,486 Lundeen Drive,1001 Sixth Spur,28.96,completed
trip_167,driver_14,2025-07-09 22:30:23,2025-07-09 23:18:23,,942 Galvez Arcade,10.6,completed
trip_168,driver_7,2025-07-09 22:42:28,2025-07-09 23:31:28,523 Oscar Estate,791 De Forest Motorway,12.29,completed
trip_169,driver_6,2025-07-09 22:24:08,2025-07-09 22:40:08,533 Leland Square,290 Auto Viaduct,27.32,completed
trip_170,driver_42,2025-07-09 22:52:42,2025-07-09 23:41:42,998 Ardenwood Drive,651 Jersey Trail,11.29,completed
trip_171,driver_20,2025-07-09 22:21:31,2025-07-09 22:44:31,674 John Muir Loop,109 Heritage Creek,44.52,completed
trip_172,driver_21,2025-07-09 22:44:49,2025-07-09 23:28:49,725 Stilwell Junction,932 Friendship Turnpike,39.9,completed
trip_173,driver_46,2025-07-09 22:33:21,2025-07-09 22:43:21,671 Cuesta Ranch,896 Beaver Trace,28.48,completed
trip_174,driver_13,2025-07-09 22:57:55,2025-07-09 23:37:55,559 Treat Avenue,139 Meade Annex,9.49,completed
trip_175,driver_1,2025-07-09 22:53:32,2025-07-09 23:47:32,1235 Coso Motorway,1171 Gaiser Turnpike,49.5,completed
trip_176,driver_37,2025-07-09 22:34:54,2025-07-09 23:21:54,409 Samoset Green,1073 Langdon Green,24.53,completed
trip_177,driver_24,2025-07-09 22:03:02,2025-07-09 22:36:02,200 Pfeiffer Lane,,43.54,in_progress
trip_178,driver_4,2025-07-09 22:58:52,2025-07-09 23:54:52,116 Rebecca Walk,763 Halleck Estate,25.41,completed
trip_179,driver_3,2025-07-09 22:35:14,2025-07-09 22:52:14,529 Oriole Manor,1179 Lower Motorway,11.03,completed
trip_180,driver_18,2025-07-09 22:19:52,2025-07-09 22:41:52,1156 Waterloo Row,893 Marine Parkway,31.49,completed
trip_181,driver_45,2025-07-09 22:52:08,2025-07-09 23:34:08,511 El Verano Park,700 Camellia Route,36.17,completed
trip_182,driver_33,2025-07-09 22:54:51,2025-07-09 23:33:51,377 Ashton Glen,1274 Cesar Chavez On Motorway,45.0,completed
trip_183,driver_33,2025-07-09 22:32:06,2025-07-09 23:24:06,1376 Country Club Creek,789 Atoll Mews,9.39,completed
trip_184,driver_46,2025-07-09 22:47:13,2025-07-09 22:58:13,965 Lamson Street,,45.57,completed
trip_185,driver_19,2025-07-09 22:39:01,2025-07-09 23:06:01,251 Filbert Field,1017 Point Lobos Avenue,21.67,completed
trip_186,driver_30,2025-07-09 22:16:22,2025-07-09 22:27:22,66 Habitat Walk,337 Brush Bypass,41.45,cancelled
trip_187,driver_38,2025-07-09 22:04:49,2025-07-09 22:52:49,1028 Ogden Pass,1131 Crags Grove,28.9,completed
trip_188,driver_44,2025-07-09 22:17:11,2025-07-09 23:00:11,219 Pico Hills,1030 Turk Heights,30.71,completed
trip_189,driver_15,2025-07-09 22:23:06,2025-07-09 22:35:06,115 Sotelo Drive,536 Cranleigh Place,20.63,completed
trip_190,driver_3,2025-07-09 22:18:18,2025-07-09 22:35:18,300 Bell Walk,1221 Boyd Bridge,28.74,completed
trip_191,driver_38,2025-07-09 22:53:02,2025-07-09 23:12:02,,,41.96,completed
trip_192,driver_25,2025-07-09 22:33:08,2025-07-09 23:22:08,1143 Naglee Shore,543 Serrano Green,6.02,completed
trip_193,driver_50,2025-07-09 22:08:55,2025-07-09 22:20:55,733 Stanton Green,753 San Andreas Glen,9.84,completed
trip_194,driver_33,2025-07-09 22:18:27,2025-07-09 22:30:27,979 Fort Funston Walk,261 Carver Hills,33.98,completed
trip_195,driver_6,2025-07-09 22:54:07,2025-07-09 23:09:07,377 Loyola Green,689 Fell Access Highway,8.81,completed
trip_196,driver_26,2025-07-09 22:35:22,2025-07-09 23:24:22,1063 Amatista Boulevard,392 Cordova Pass,14.2,completed
trip_197,driver_11,2025-07-09 22:36:03,2025-07-09 23:15:03,843 Mullen Extension,1313 Sotelo Center,38.75,completed
trip_198,driver_48,2025-07-09 22:58:03,2025-07-09 23:03:03,,128 Mckinley Boulevard,27.26,completed
trip_199,driver_28,2025-07-09 22:31:41,2025-07-09 23:00:41,855 Ozbourn Boulevard,1051 Webb Landing,12.15,completed
trip_200,driver_46,2025-07-09 22:14:12,2025-07-09 22:28:12,1281 Santa Clara Mews,536 Ardath Field,24.05,completed
trip_201,driver_13,2025-07-09 22:34:50,2025-07-09 22:51:50,904 Madera Heights,143 Gladys Avenue,18.94,completed
trip_202,driver_9,2025-07-09 22:03:17,2025-07-09 22:37:17,1122 Linda Vista Walk,1244 August Expressway,21.95,completed
trip_203,driver_46,2025-07-09 22:29:59,2025-07-09 23:25:59,292 Belle Extension,1025 Turk Hills,34.54,completed
trip_204,driver_39,2025-07-09 22:01:49,2025-07-09 22:46:49,317 Carl Creek,582 Glenhaven Bypass,26.44,completed
trip_205,driver_33,2025-07-09 22:20:02,2025-07-09 22:55:02,949 Case Turnpike,904 Albion Court,16.39,completed
trip_206,driver_30,2025-07-09 22:57:42,2025-07-09 23:24:42,845 Spring Stravenue,137 Pierce Alley,13.6,completed
trip_207,driver_38,2025-07-09 22:59:43,2025-07-09 23:13:43,1089 Santa Rosa Row,1065 Lunado Park,38.6,completed
trip_208,driver_24,2025-07-09 22:45:56,2025-07-09 23:10:56,1003 Ivy Bypass,619 Del Sur Station,41.38,completed
trip_209,driver_23,2025-07-09 22:05:38,2025-07-09 22:17:38,623 Apollo Terrace,1398 Graymalkin Expressway,32.45,completed
trip_210,driver_36,2025-07-09 22:14:02,2025-07-09 22:29:02,716 Mclea Crossing,1195 Seminole Row,49.47,completed
trip_211,driver_12,2025-07-09 22:13:43,2025-07-09 23:05:43,611 Miraloma Shore,552 Candlewood Run,41.55,completed
trip_212,driver_43,2025-07-09 22:12:27,2025-07-09 22:24:27,1213 Eastman Alley,1267 Oxford Park,11.0,completed
trip_213,driver_42,2025-07-09 22:18:55,2025-07-09 22:33:55,1080 Panama Junction,674 Transbay Loop Path,23.6,completed
trip_214,driver_26,2025-07-09 22:27:49,2025-07-09 22:34:49,951 Java Expressway,1392 Lauren Turnpike,48.48,completed
trip_215,driver_26,2025-07-09 22:35:28,2025-07-09 22:48:28,837 Medical Center Rapids,711 Fair Oaks Point,27.15,completed
trip_216,driver_37,2025-07-09 22:20:42,2025-07-09 22:44:42,380 Robert Kirk Hill,497 Innes Glen,29.75,completed
trip_217,driver_5,2025-07-09 22:36:46,2025-07-09 23:00:46,360 Saturn Landing,357 Perimeter Square,31.29,completed
