trip_id,driver_id,user_id,pickup_time,dropoff_time,pickup_location,dropoff_location,fare_amount,status
trip_45,driver_9,user_63,2025-07-10 14:00:05,2025-07-10 14:59:05,456 Van Dyke Bend,1283 Hermann Estate,42.05,completed
trip_46,driver_7,user_65,2025-07-10 12:24:24,2025-07-10 12:44:24,323 Springfield Canyon,694 Kirkham Rapids,35.45,in_progress
trip_47,driver_11,user_70,2025-07-10 03:44:46,2025-07-10 04:35:46,870 Maple Mews,1218 Pomona Extension,42.25,completed
trip_48,driver_5,user_76,2025-07-10 00:55:34,2025-07-10 01:02:34,362 Shawnee Pine,10 Petrarch Bayou,10.2,in_progress
trip_49,driver_3,user_77,2025-07-10 01:25:33,2025-07-10 02:20:33,505 Hunt Lodge,1061 Old Harford Crossing,29.47,in_progress
trip_50,driver_10,user_46,2025-07-10 21:10:39,2025-07-10 21:46:39,853 Eugenia Bypass,445 Church Parking Lot Road,45.23,completed
trip_51,driver_4,user_64,2025-07-10 22:50:11,2025-07-10 23:21:11,87 Genebern Boulevard,1238 High Bridge,24.78,cancelled
trip_52,driver_17,user_60,2025-07-10 09:15:45,2025-07-10 10:15:45,1342 Sabin Alley,721 Oxford Turnpike,10.95,completed
trip_53,driver_11,user_53,2025-07-10 01:47:55,2025-07-10 02:39:55,1228 Cordelia Freeway,139 Rhode Island Stravenue,20.11,in_progress
trip_54,driver_1,user_56,2025-07-10 01:48:14,2025-07-10 02:01:14,677 Von Schmidt Shore,189 Vallejo Loop,49.15,completed
trip_55,driver_5,user_69,2025-07-10 00:15:24,2025-07-10 00:36:24,168 Channel Square,1327 Belgrave Garden,13.91,completed
trip_56,driver_9,user_68,2025-07-10 04:08:06,2025-07-10 04:50:06,1355 Davis Spur,383 Eddy Trail,43.86,cancelled
trip_57,driver_10,user_47,2025-07-10 11:37:06,2025-07-10 12:31:06,563 Giants Manor,640 Diamond Cove Park,25.84,completed
trip_58,driver_15,user_45,2025-07-10 18:48:26,2025-07-10 19:11:26,1045 Tapia Pass,653 Connecticut Motorway,28.95,cancelled
trip_59,driver_19,user_59,2025-07-10 12:44:36,2025-07-10 13:44:36,445 Miguel Arcade,464 Yerba Buena Point,42.93,completed
trip_60,driver_2,user_74,2025-07-10 20:36:36,2025-07-10 21:24:36,1280 Saratoga Circle,632 Christmas Tree Point Highway,11.24,cancelled
trip_61,driver_19,user_52,2025-07-10 22:11:55,2025-07-10 22:37:55,134 Quesada Path,216 Casitas Center,,completed
trip_62,driver_10,user_70,2025-07-10 20:23:53,2025-07-10 20:58:53,,1208 Bigler Square,32.82,completed
trip_63,driver_2,user_76,2025-07-10 08:01:55,2025-07-10 08:35:55,1132 Elliot Stravenue,1009 Avenue M Lake,27.13,completed
trip_64,driver_18,user_62,2025-07-10 09:26:23,2025-07-10 09:50:23,1327 George Crescent,256 Brunswick Freeway,,in_progress
trip_65,driver_18,user_62,2025-07-10 13:54:22,2025-07-10 14:15:22,62 Public Alley,483 Case Gardens,,cancelled
trip_66,driver_6,user_69,2025-07-10 02:28:43,2025-07-10 03:19:43,937 Ils Court,7 El Dorado Grove,31.39,completed
trip_67,driver_6,user_45,2025-07-10 14:01:22,2025-07-10 14:11:22,848 Springfield Mews,990 Mersey Mall,,cancelled
trip_68,driver_20,user_47,2025-07-10 22:28:39,2025-07-10 22:42:39,12 Johnstone Alley,,6.3,completed
trip_69,driver_10,user_72,2025-07-10 23:13:35,2025-07-10 23:49:35,30 Clipper Alley,389 Santa Paula Crescent,26.23,completed
trip_70,driver_14,user_65,2025-07-10 09:12:32,2025-07-10 09:50:32,459 Cedar Arcade,354 Vista Verde Canyon,18.54,completed
trip_71,driver_5,user_59,2025-07-10 10:36:33,2025-07-10 11:01:33,1215 Red Leaf Garden,998 Patton Plaza,17.59,completed
trip_72,driver_16,user_74,2025-07-10 10:52:06,2025-07-10 11:51:06,503 Peters Lane,1276 Portal Highway,21.1,completed
trip_73,driver_16,user_65,2025-07-10 20:38:01,2025-07-10 21:35:01,33 Avocet Pine,783 Cambridge Motorway,12.68,completed
trip_74,driver_16,user_49,2025-07-10 11:12:09,2025-07-10 12:09:09,192 Radio Pine,775 Heyman Alley,45.47,in_progress
trip_75,driver_4,user_47,2025-07-10 15:03:30,2025-07-10 15:47:30,658 Exchange Pass,920 Daggett Lane,34.63,cancelled
trip_76,driver_1,user_52,2025-07-10 02:52:14,2025-07-10 03:16:14,803 Forest Hill Crossing,359 North 15Th Route,7.93,completed
trip_77,driver_20,user_52,2025-07-10 18:09:57,2025-07-10 18:44:57,806 Ver Mehr Boulevard,906 Burr Crescent,36.33,completed
trip_78,driver_14,user_77,2025-07-10 03:14:39,2025-07-10 04:10:39,270 Rondel Motorway,1278 Bowling Green Cove,41.47,completed
trip_79,driver_7,user_58,2025-07-10 00:25:04,2025-07-10 01:11:04,993 Amethyst Field,751 Copper Shore,44.81,cancelled
trip_80,driver_10,user_64,2025-07-10 18:52:36,2025-07-10 19:35:36,,1057 Flood Cove,38.18,completed
trip_81,driver_20,user_49,2025-07-09 23:51:13,2025-07-10 00:08:13,7 Miraloma Freeway,1069 Dorcas Rapids,41.64,completed
trip_82,driver_19,user_73,2025-07-10 11:34:21,2025-07-10 12:15:21,,513 Wentworth Junction,43.37,completed
trip_83,driver_13,user_64,2025-07-10 14:03:07,2025-07-10 14:38:07,643 Francisco Estate,1221 Lassen Viaduct,45.63,completed
trip_84,driver_14,user_60,2025-07-10 07:08:17,2025-07-10 07:23:17,630 Cornwall Crescent,280 Prado Drive,12.16,completed
trip_85,driver_8,user_68,2025-07-10 05:32:34,2025-07-10 06:25:34,1165 Glen Estate,1310 Balmy Bridge,33.24,in_progress
trip_86,driver_15,user_55,2025-07-10 20:06:29,2025-07-10 20:41:29,353 Harlow Bypass,983 Cook Plaza,27.93,completed
trip_87,driver_10,user_54,2025-07-10 11:41:01,2025-07-10 12:09:01,620 Seawell Mall,79 Grenard Avenue,,cancelled
trip_88,driver_8,user_58,2025-07-10 05:03:16,2025-07-10 05:52:16,1360 Emerald Path,523 Opal Turnpike,,cancelled
trip_89,driver_1,user_73,2025-07-10 02:13:57,2025-07-10 02:41:57,927 Grant Trace,113 Rosa Parks Garden,22.88,completed
trip_90,driver_6,user_57,2025-07-10 10:01:05,2025-07-10 10:51:05,403 Hicks Spur,665 Telegraph Hill Circle,36.02,completed
trip_91,driver_19,user_45,2025-07-10 00:38:57,2025-07-10 00:54:57,555 Garcia Lake,1358 Adair Ferry,,in_progress
trip_92,driver_5,user_72,2025-07-10 15:39:22,2025-07-10 16:20:22,662 Eldridge Terrace,1141 Cunningham Lane,14.73,in_progress
trip_93,driver_10,user_75,2025-07-10 18:52:31,2025-07-10 19:34:31,230 Fresnel Rapids,563 Alta Mar Field,35.03,in_progress
trip_94,driver_9,user_60,2025-07-10 19:57:10,2025-07-10 20:31:10,919 Rivas Mews,438 Richard Henry Dana Lodge,15.04,completed
trip_95,driver_10,user_68,2025-07-10 10:03:40,2025-07-10 11:00:40,897 Holly Park Green,1332 Opal Route,36.61,completed
trip_96,driver_10,user_59,2025-07-10 07:05:31,2025-07-10 07:43:31,1175 Old Decatur Canyon,63 London Expressway,45.56,completed
trip_97,driver_1,user_63,2025-07-10 23:39:17,2025-07-10 23:45:17,682 Liebig Circle,1260 Yerba Buena Garden,32.82,completed
trip_98,driver_8,user_63,2025-07-10 21:13:18,2025-07-10 21:46:18,1073 Isola Bayou,131 Tingley Extension,20.61,cancelled
trip_99,driver_1,user_51,2025-07-10 14:29:03,2025-07-10 15:20:03,515 Wanda Estate,1161 Simonds Trace,28.14,completed
trip_100,driver_8,user_47,2025-07-10 17:03:14,2025-07-10 17:36:14,950 Gibb Bend,1068 Adair Crescent,7.58,completed
trip_101,driver_15,user_49,2025-07-10 19:43:08,2025-07-10 20:19:08,1321 Spofford Garden,,35.84,completed
trip_102,driver_9,user_59,2025-07-10 14:07:25,2025-07-10 14:37:25,962 Keyes Gardens,1013 Santa Monica Viaduct,37.9,completed
trip_103,driver_18,user_71,2025-07-10 23:17:22,2025-07-10 23:55:22,1151 Perasto Mall,856 Dolphin Hills,31.87,completed
trip_104,driver_8,user_61,2025-07-10 17:40:04,2025-07-10 17:58:04,730 Ramona Drive,,31.87,completed
trip_105,driver_8,user_45,2025-07-10 16:53:21,2025-07-10 17:07:21,1030 Hamlin Pike,119 Laguna Honda Circle,,in_progress
trip_106,driver_10,user_58,2025-07-10 09:37:25,2025-07-10 10:28:25,1055 Dove Motorway,10 Ardenwood Avenue,,completed
trip_107,driver_7,user_78,2025-07-10 07:18:36,2025-07-10 07:34:36,761 Hagiwara Tea Garden Court,,46.15,completed
trip_108,driver_10,user_73,2025-07-10 03:34:12,2025-07-10 04:12:12,389 Deming Place,710 The Embarcadero Road,5.44,in_progress
trip_109,driver_7,user_70,2025-07-10 05:36:21,2025-07-10 05:59:21,1147 Saddleback Lodge,880 Hallam Highway,17.42,completed
trip_110,driver_12,user_62,2025-07-10 22:00:31,2025-07-10 22:48:31,,381 Beaver Heights,6.13,completed
trip_111,driver_2,user_53,2025-07-10 12:31:05,2025-07-10 13:07:05,929 El Dorado Center,462 Harkness Bypass,,completed
trip_112,driver_1,user_64,2025-07-10 01:31:26,2025-07-10 01:59:26,848 Juan Bautista Hills,150 Pinto Hills,13.97,completed
trip_113,driver_15,user_59,2025-07-10 13:56:39,2025-07-10 14:16:39,247 Oakhurst Mews,36 Sansome Drive,44.26,completed
trip_114,driver_5,user_61,2025-07-10 11:44:05,2025-07-10 11:54:05,1171 Duncan Parkway,957 Kern Highway,9.6,completed
trip_115,driver_5,user_46,2025-07-10 19:57:57,2025-07-10 20:39:57,158 Salinas Path,1372 Sergeant John V Young Terrace,15.39,completed
trip_116,driver_2,user_46,2025-07-10 07:03:06,2025-07-10 07:31:06,576 Bacon Freeway,189 Santiago Cove,19.58,cancelled
trip_117,driver_13,user_61,2025-07-10 08:28:32,2025-07-10 09:00:32,359 Opalo Ranch,187 Dichiera Loop,29.68,completed
trip_118,driver_9,user_66,2025-07-10 20:22:46,2025-07-10 21:20:46,107 State Arcade,581 Minerva Green,33.11,completed
trip_119,driver_3,user_53,2025-07-10 07:56:28,2025-07-10 08:07:28,851 Rondel Viaduct,1079 Tioga Station,12.73,completed
trip_120,driver_3,user_61,2025-07-10 21:49:43,2025-07-10 22:27:43,159 Divisadero Parkway,1302 Homestead Avenue,32.86,completed
trip_121,driver_19,user_57,2025-07-10 05:40:33,2025-07-10 05:51:33,608 Jarboe Rapids,816 Maxwell Parkway,34.43,completed
trip_122,driver_13,user_60,2025-07-10 11:53:14,2025-07-10 12:03:14,478 First Road,711 Emil Run,25.83,completed
trip_123,driver_19,user_65,2025-07-10 11:21:17,2025-07-10 12:16:17,1021 King Road,758 Davis Canyon,40.99,completed
trip_124,driver_7,user_53,2025-07-10 20:38:47,2025-07-10 21:03:47,1342 Natoma Bend,888 E Center,48.77,completed
trip_125,driver_10,user_50,2025-07-10 17:19:21,2025-07-10 17:28:21,1287 Adele Green,48 Mill Lake,7.27,completed
trip_126,driver_2,user_53,2025-07-10 09:16:20,2025-07-10 09:36:20,84 Nevada Viaduct,517 Hartford Shore,,in_progress
trip_127,driver_5,user_75,2025-07-10 21:56:09,2025-07-10 22:51:09,554 Charlton Mews,917 Seymour Annex,47.09,completed
trip_128,driver_14,user_65,2025-07-10 07:28:29,2025-07-10 07:38:29,1031 Cora Green,3 Wawona Garden,48.22,completed
trip_129,driver_10,user_59,2025-07-10 11:41:22,2025-07-10 12:30:22,1323 Ames Avenue,543 Evergreen Viaduct,18.72,completed
trip_130,driver_17,user_56,2025-07-10 09:23:32,2025-07-10 10:09:32,1087 Augusta Plaza,1061 Mansell Landing,40.83,completed
trip_131,driver_9,user_75,2025-07-10 21:57:45,2025-07-10 22:56:45,27 Ceres Row,235 Cotter Annex,29.3,completed
trip_132,driver_2,user_58,2025-07-10 02:44:30,2025-07-10 03:11:30,748 Howard Junction,1033 Restani Annex,46.06,completed
trip_133,driver_16,user_48,2025-07-10 18:34:28,2025-07-10 18:57:28,654 Crespi Garden,731 Friendship Plaza,43.55,completed
trip_134,driver_5,user_74,2025-07-10 04:00:41,2025-07-10 04:10:41,1276 Uranus Motorway,1225 Heron Point,5.91,completed
trip_135,driver_13,user_54,2025-07-10 17:34:02,2025-07-10 17:50:02,36 Wall Estate,657 Campbell Square,,cancelled
trip_136,driver_16,user_59,2025-07-10 16:35:50,2025-07-10 17:02:50,1198 Romolo Lane,858 Colusa Manor,18.0,completed
trip_137,driver_18,user_62,2025-07-10 17:27:34,2025-07-10 18:15:34,1203 La Ferrera Terrace,992 Waldo Rapids,42.87,cancelled
trip_138,driver_11,user_50,2025-07-09 23:56:06,2025-07-10 00:38:06,1101 Bessie Hill,501 Rod Route,7.14,completed
trip_139,driver_7,user_61,2025-07-10 16:20:55,2025-07-10 16:37:55,1228 Ils Spur,222 Oak Access Creek,23.76,completed
trip_140,driver_9,user_68,2025-07-10 21:09:05,2025-07-10 21:15:05,495 Geneva Viaduct,975 Overlook Avenue,48.39,completed
trip_141,driver_4,user_63,2025-07-10 13:03:46,2025-07-10 14:01:46,751 Brooklyn Bypass,220 Edgemont Row,,cancelled
trip_142,driver_13,user_54,2025-07-10 11:16:03,2025-07-10 11:52:03,188 Atalaya Alley,1191 Clipper Expressway,11.05,completed
trip_143,driver_4,user_76,2025-07-10 08:28:38,2025-07-10 09:23:38,93 Casitas Creek,,,in_progress
trip_144,driver_19,user_70,2025-07-10 16:23:33,2025-07-10 17:16:33,914 Butte Landing,1149 Oneida Green,6.29,completed
trip_145,driver_5,user_57,2025-07-10 08:13:59,2025-07-10 08:50:59,1125 Lansing Hill,926 Harrison Highway,35.37,completed
trip_146,driver_16,user_45,2025-07-10 12:17:57,2025-07-10 12:37:57,45 Stoneybrook Bayou,789 Bernal Heights Manor,45.95,completed
trip_147,driver_1,user_48,2025-07-10 23:06:23,2025-07-10 23:14:23,724 Hudson Terrace,438 Cranleigh Square,29.72,completed
trip_148,driver_18,user_69,2025-07-10 15:59:34,2025-07-10 16:32:34,545 Yosemite Canyon,995 Johnstone Row,48.38,completed
trip_149,driver_18,user_70,2025-07-10 14:00:06,2025-07-10 14:39:06,372 Erkson Mews,,17.63,completed
trip_150,driver_5,user_76,2025-07-10 20:45:09,2025-07-10 21:10:09,1239 Dawson Court,1194 Shakespeare Crossing,,cancelled
trip_151,driver_3,user_76,2025-07-10 02:47:57,2025-07-10 03:32:57,123 Rockdale Lodge,579 Lapidge Pine,13.8,completed
trip_152,driver_14,user_76,2025-07-10 22:23:12,2025-07-10 22:38:12,458 Eugenia Field,402 Palace Of Fine Arts Parkway,47.51,completed
trip_153,driver_14,user_55,2025-07-10 11:30:29,2025-07-10 11:46:29,78 Cloud Avenue,1361 Via Bufano Crescent,11.77,completed
trip_154,driver_15,user_74,2025-07-10 18:40:34,2025-07-10 19:08:34,506 King Center,331 Security Pacific Park,15.16,completed
trip_155,driver_9,user_68,2025-07-10 06:31:37,2025-07-10 06:38:37,49 Cardenas Route,480 Claude Arcade,15.86,cancelled
trip_156,driver_12,user_55,2025-07-10 21:39:35,2025-07-10 22:00:35,900 Fulton Spur,376 Delta Manor,17.19,completed
trip_157,driver_3,user_45,2025-07-10 01:56:24,2025-07-10 02:21:24,39 Grand View Heights,624 Wright Circle,33.88,completed
trip_158,driver_3,user_65,2025-07-10 00:47:28,2025-07-10 01:42:28,,10 Bush Hill,47.34,completed
trip_159,driver_3,user_54,2025-07-10 05:53:35,2025-07-10 06:51:35,1018 Al Scoma Arcade,764 Cerritos Bypass,46.04,completed
trip_160,driver_5,user_68,2025-07-10 01:57:10,2025-07-10 02:23:10,913 Caire Garden,846 Lapu-Lapu Trail,27.9,completed
trip_161,driver_9,user_51,2025-07-10 19:09:18,2025-07-10 19:16:18,522 Stockton Avenue,1001 Diana Point,12.76,completed
trip_162,driver_5,user_48,2025-07-10 17:40:21,2025-07-10 18:00:21,140 Sharp Bend,1178 Schofield Extension,38.79,completed
trip_163,driver_5,user_70,2025-07-10 07:55:11,2025-07-10 08:08:11,511 Reddy Avenue,895 Harding Path,38.33,cancelled
trip_164,driver_11,user_69,2025-07-10 17:18:32,2025-07-10 17:28:32,1231 Bengal Creek,1248 Germania Grove,12.68,completed
trip_165,driver_6,user_47,2025-07-10 13:23:07,2025-07-10 14:01:07,200 Morse Point,1345 Sparrow Crescent,7.12,completed
trip_166,driver_20,user_66,2025-07-10 03:43:39,2025-07-10 03:54:39,766 Donner Bypass,358 Megan Place,17.49,completed
trip_167,driver_16,user_77,2025-07-10 11:19:53,2025-07-10 12:03:53,1146 Washington Creek,,9.89,completed
trip_168,driver_14,user_63,2025-07-10 13:57:38,2025-07-10 14:36:38,1397 Clearfield Run,193 Tiffany Bayou,37.26,completed
trip_169,driver_16,user_71,2025-07-10 18:54:40,2025-07-10 19:31:40,952 Edgar Lake,978 Sonoma Street,24.03,cancelled
trip_170,driver_2,user_50,2025-07-10 08:47:57,2025-07-10 09:33:57,83 Camellia Park,936 Delancey Row,34.66,completed
trip_171,driver_4,user_45,2025-07-10 04:49:19,2025-07-10 05:42:19,1160 Wheat Bypass,610 Carolina Pine,37.94,completed
trip_172,driver_8,user_46,2025-07-10 09:20:02,2025-07-10 09:30:02,,1213 Charles J Brenham Bend,,completed
trip_173,driver_11,user_56,2025-07-10 02:40:56,2025-07-10 02:54:56,778 Wilde Loop,1034 Clement Alley,12.68,completed
trip_174,driver_19,user_59,2025-07-10 22:16:12,2025-07-10 22:34:12,511 Red Rock Pine,1121 Essex Arcade,27.58,completed
trip_175,driver_13,user_73,2025-07-10 07:58:54,2025-07-10 08:38:54,1381 Ohlone Heights,888 Potrero Crescent,6.87,completed
trip_176,driver_6,user_72,2025-07-10 13:05:11,2025-07-10 13:31:11,1210 Andover Pine,842 East Crystal Cove Junction,28.93,completed
trip_177,driver_19,user_62,2025-07-10 18:04:55,2025-07-10 18:35:55,1031 Battery Chamberlin Field,436 Don Chee Annex,5.08,completed
trip_178,driver_14,user_58,2025-07-10 02:11:27,2025-07-10 02:54:27,,486 Mateo Court,41.24,completed
trip_179,driver_18,user_61,2025-07-10 11:02:58,2025-07-10 11:34:58,1180 Montgomery Avenue,637 St. Paul Street-Calvert Ferry,10.6,completed
trip_180,driver_1,user_65,2025-07-10 12:58:23,2025-07-10 13:51:23,203 Cherry Bend,945 View Center,,in_progress
trip_181,driver_14,user_67,2025-07-10 11:59:25,2025-07-10 12:52:25,994 Letterman Path,1057 Loehr Glen,,in_progress
trip_182,driver_8,user_75,2025-07-10 16:32:44,2025-07-10 16:46:44,1045 Laidley Lodge,753 Newcomb Extension,,cancelled
trip_183,driver_14,user_51,2025-07-10 11:16:02,2025-07-10 11:47:02,1065 Malvina Viaduct,1309 Bancroft Canyon,24.33,completed
trip_184,driver_6,user_51,2025-07-10 08:25:05,2025-07-10 08:58:05,401 Mono Crescent,292 Chatham Station,,cancelled
trip_185,driver_20,user_59,2025-07-10 16:44:42,2025-07-10 17:07:42,479 Sergeant John V Young Junction,142 Perasto Ferry,34.81,completed
trip_186,driver_5,user_66,2025-07-10 01:23:57,2025-07-10 01:38:57,2 Arco Road,1211 Atoll Rapids,10.51,completed
trip_187,driver_15,user_61,2025-07-10 02:04:46,2025-07-10 02:51:46,874 Hallam Crescent,1274 Ottawa Street,12.55,completed
trip_188,driver_17,user_75,2025-07-10 10:36:41,2025-07-10 11:03:41,75 Garrison Viaduct,,5.39,completed
trip_189,driver_8,user_59,2025-07-10 19:03:28,2025-07-10 19:28:28,1346 Livingston Estate,72 Massasoit Route,33.28,completed
trip_190,driver_6,user_45,2025-07-10 12:31:30,2025-07-10 13:12:30,109 Harrington Canyon,253 Gorham Arcade,15.87,completed
trip_191,driver_16,user_64,2025-07-10 11:45:01,2025-07-10 12:45:01,1156 Saint Louis Circle,507 George Bend,22.61,completed
trip_192,driver_11,user_55,2025-07-10 19:58:32,2025-07-10 20:49:32,1289 Taber Crescent,312 Lyon Route,43.57,completed
trip_193,driver_19,user_60,2025-07-10 10:16:27,2025-07-10 10:53:27,716 Iris Grove,201 Gibson Estate,37.54,completed
trip_194,driver_13,user_61,2025-07-10 05:49:58,2025-07-10 05:57:58,1227 Shrader Cove,79 Fitch Mews,31.43,in_progress
trip_195,driver_14,user_47,2025-07-10 23:32:25,2025-07-11 00:24:25,250 La Avanzada Glen,5 Delaware Spur,35.87,completed
trip_196,driver_16,user_73,2025-07-10 08:17:02,2025-07-10 08:22:02,1142 Mcdonald Canyon,367 Dwight Shore,8.1,completed
trip_197,driver_3,user_46,2025-07-10 22:32:26,2025-07-10 23:22:26,1283 Burke Pass,407 Teresita Lane,42.05,in_progress
trip_198,driver_17,user_69,2025-07-10 06:46:00,2025-07-10 07:08:00,1005 Sierra Pike,19 Priest Plaza,12.48,completed
trip_199,driver_8,user_56,2025-07-10 20:17:28,2025-07-10 20:31:28,989 Golf Course Glen,455 Patton Hill,,in_progress
trip_200,driver_16,user_67,2025-07-10 23:01:38,2025-07-10 23:46:38,319 Arbor Pike,600 Kate Bayou,6.63,completed
trip_201,driver_3,user_69,2025-07-10 01:41:06,2025-07-10 02:29:06,996 Porter Trail,498 Tucker Plaza,43.44,completed
trip_202,driver_11,user_72,2025-07-10 03:10:30,2025-07-10 04:03:30,1290 Holly Landing,1056 Heyman Canyon,24.46,completed
trip_203,driver_3,user_48,2025-07-10 20:55:49,2025-07-10 21:37:49,410 Brookdale Path,541 Wilmot Shore,,completed
trip_204,driver_8,user_60,2025-07-10 12:12:21,2025-07-10 12:27:21,548 Ash Trail,277 Orsi Ranch,,completed
